archivo,tipo,origen,lineas,bytes,sha256
.github/workflows/apk.yml,yml,escrito,350,17220,907391f31e36f8bac127b778cec246a410456aba026a6d16cfb2938bb5d0c940
LICENCIA.md,md,escrito,84,3532,ae92f5b8817f843ce7b3b9686dcea0058ff5f5d161e1a6e391152446ee50263e
LICENSE,sin extensión,escrito,22,1048,c6104f0d2cd697c792da0ebe40c8cffe8add5e76904da46a409dd92f96f46554
PROPIEDAD.md,md,escrito,129,6766,0e6d64deb1dc1774af5a6ebf1da1c27ee240e42095dca651220e9595b0ea70ef
README.md,md,escrito,132,6287,10ab3b89288f85a50fc27b74351d70b8e8bb6447b9e5602f74df3f835129d7d1
app/.env.example,example,escrito,6,301,ba633964221ba9ee8d3cf08eb052efec23cfb74fdb16e35bd659dccb5746a14c
app/.gitignore,sin extensión,escrito,12,448,68c85a094f411a8bd9c6c7f7b3d72e8de2764bcf5216a27320aaaa0f8167b2f7
app/App.tsx,tsx,escrito,314,13888,eb65c5c9b1e7f5e9703068789bc4c389615504b12b698e65b22590a27df11fac
app/app.json,json,escrito,66,1580,5bbbd81be0fe6a50e513afa5302985a0c7e01d55b6c6ae16fb6710e8ed1d444c
app/assets/arranque.png,binario,escrito,0,7699,7a22eb0d9a8c2167091a343690680ca115893de74c24e4b6c7378c5a667ca735
app/assets/favicon.png,binario,escrito,0,2084,6fd5b242506b77c67ca2eeeba116b6acfd97abc588ab3fa5e1d958c27e9e02b0
app/assets/icono-adaptativo.png,binario,escrito,0,6716,26f885d1771f1ceb6ac888d194cc3ef244c9e291f88073dcdafdca04be38036d
app/assets/icono-monocromo.png,binario,escrito,0,6113,bd7bf50dc677eeabba2828ec6435317fbf7ee86373b8698654bb99297e536833
app/assets/icono.png,binario,escrito,0,8938,047ae91853878628dc9762a7d0648c6d9704cfc73f2bd011576694b013401c89
app/babel.config.js,js,escrito,5,101,52db31902de488f2d5d368c3f449a449364d0d6d70450165c37fe7a1745838d8
app/eas.json,json,escrito,27,430,526205e369a56291ed23761985ea4c198c5ec7e3a3125d9c73b69b61e188496c
app/index.ts,ts,escrito,5,100,a5ee9fdfb4ecbbf7e862f1c23a4d73ddd8e55f3037f80e406bc3a2be6d7d928c
app/modules/voz/android/build.gradle,gradle,escrito,27,612,70718b5ef5dcd054269a8e3ef734e00cd5a41a5bce43251e6dc5966387739157
app/modules/voz/android/src/main/AndroidManifest.xml,xml,escrito,15,492,57c4033522a210da02f8477cef85957ae63280d14846a9ddcade0062eb68555e
app/modules/voz/android/src/main/java/cl/studia/voz/VozModule.kt,kt,escrito,261,9594,028cbbbe26c342b8ee993f2d31f5a873a136f0a112cc3203bd5c1a59ed106e98
