paquete,licencia
@babel/code-frame@7.29.7,"MIT"
@babel/compat-data@7.29.7,"MIT"
@babel/core@7.29.7,"MIT"
@babel/generator@7.29.8,"MIT"
@babel/helper-annotate-as-pure@7.29.7,"MIT"
@babel/helper-compilation-targets@7.29.7,"MIT"
@babel/helper-create-class-features-plugin@7.29.7,"MIT"
@babel/helper-create-regexp-features-plugin@7.29.7,"MIT"
@babel/helper-define-polyfill-provider@0.6.8,"MIT"
@babel/helper-globals@7.29.7,"MIT"
@babel/helper-member-expression-to-functions@7.29.7,"MIT"
@babel/helper-module-imports@7.29.7,"MIT"
@babel/helper-module-transforms@7.29.7,"MIT"
@babel/helper-optimise-call-expression@7.29.7,"MIT"
@babel/helper-plugin-utils@7.29.7,"MIT"
@babel/helper-remap-async-to-generator@7.29.7,"MIT"
@babel/helper-replace-supers@7.29.7,"MIT"
@babel/helper-skip-transparent-expression-wrappers@7.29.7,"MIT"
@babel/helper-string-parser@7.29.7,"MIT"
@babel/helper-validator-identifier@7.29.7,"MIT"
@babel/helper-validator-option@7.29.7,"MIT"
@babel/helper-wrap-function@7.29.7,"MIT"
@babel/helpers@7.29.7,"MIT"
@babel/parser@7.29.8,"MIT"
@babel/plugin-proposal-decorators@7.29.7,"MIT"
@babel/plugin-proposal-export-default-from@7.29.7,"MIT"
@babel/plugin-syntax-async-generators@7.8.4,"MIT"
@babel/plugin-syntax-bigint@7.8.3,"MIT"
@babel/plugin-syntax-class-properties@7.12.13,"MIT"
@babel/plugin-syntax-class-static-block@7.14.5,"MIT"
@babel/plugin-syntax-decorators@7.29.7,"MIT"
@babel/plugin-syntax-dynamic-import@7.8.3,"MIT"
@babel/plugin-syntax-export-default-from@7.29.7,"MIT"
@babel/plugin-syntax-flow@7.29.7,"MIT"
@babel/plugin-syntax-import-attributes@7.29.7,"MIT"
@babel/plugin-syntax-import-meta@7.10.4,"MIT"
@babel/plugin-syntax-json-strings@7.8.3,"MIT"
@babel/plugin-syntax-jsx@7.29.7,"MIT"
@babel/plugin-syntax-logical-assignment-operators@7.10.4,"MIT"
@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,"MIT"
@babel/plugin-syntax-numeric-separator@7.10.4,"MIT"
@babel/plugin-syntax-object-rest-spread@7.8.3,"MIT"
@babel/plugin-syntax-optional-catch-binding@7.8.3,"MIT"
@babel/plugin-syntax-optional-chaining@7.8.3,"MIT"
@babel/plugin-syntax-private-property-in-object@7.14.5,"MIT"
@babel/plugin-syntax-top-level-await@7.14.5,"MIT"
@babel/plugin-syntax-typescript@7.29.7,"MIT"
@babel/plugin-transform-async-generator-functions@7.29.7,"MIT"
@babel/plugin-transform-async-to-generator@7.29.7,"MIT"
@babel/plugin-transform-block-scoping@7.29.7,"MIT"
@babel/plugin-transform-class-properties@7.29.7,"MIT"
@babel/plugin-transform-class-static-block@7.29.7,"MIT"
@babel/plugin-transform-classes@7.29.7,"MIT"
@babel/plugin-transform-destructuring@7.29.7,"MIT"
@babel/plugin-transform-export-namespace-from@7.29.7,"MIT"
