paquete,version,licencia,titular
@expo/metro-runtime,57.0.13,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
@expo/vector-icons,15.1.1,MIT,"Copyright (c) 2015 Joel Arvidsson"
@react-native-async-storage/async-storage,2.2.0,MIT,"Copyright (c) 2015-present, Facebook, Inc."
@react-navigation/bottom-tabs,7.18.17,MIT,"Copyright (c) 2017 React Navigation Contributors"
@react-navigation/native,7.3.17,MIT,"Copyright (c) 2017 React Navigation Contributors"
@react-navigation/native-stack,7.18.9,MIT,"Copyright (c) 2017 React Navigation Contributors"
@supabase/supabase-js,2.112.4,MIT,"Copyright (c) 2020 Supabase"
expo,57.0.16,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-audio,57.0.4,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-constants,57.0.16,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-document-picker,57.0.1,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-linking,57.0.8,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-notifications,57.0.15,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-speech,57.0.1,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-splash-screen,57.0.8,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-status-bar,57.0.1,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-system-ui,57.0.2,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
expo-web-browser,57.0.2,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
react,19.2.3,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
react-dom,19.2.3,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
react-native,0.86.2,MIT,"Copyright (c) Meta Platforms, Inc. and affiliates."
react-native-safe-area-context,5.7.0,MIT,"Copyright (c) 2019 Th3rd Wave"
react-native-screens,4.26.2,MIT,"Copyright (c) 2018 Software Mansion <swmansion.com>"
react-native-svg,15.15.4,MIT,"Copyright (c) [2015-2016] [Horcrux]"
react-native-url-polyfill,2.0.0,MIT,"Copyright (c) 2019 Nicolas Charpentier"
react-native-web,0.21.2,MIT,"Copyright (c) Nicolas Gallagher."
